Other,Tool,Economic,Connection,Info,Spanish,age,inc,party_lean,marital,educ2,emplnw,hisp,racem1
,,,,1,English,21,6,1,6,3,1,2,1
,,,,1,English,67,7,2,1,3,3,2,1
,1,,,1,English,40,9,2,1,7,1,2,1
,1,,1,,English,38,1,2,6,2,4,2,2
,,1,,,English,62,7,1,3,6,1,2,1
,,,,1,English,64,1,1,3,4,3,2,1
,,,,1,English,60,8,2,1,6,1,2,1
,,,1,,English,50,7,8,4,2,5,1,7
,,,1,,English,82,9,1,1,8,3,2,1
,,,,1,English,78,7,2,1,8,3,2,1
,,,,1,English,47,9,2,1,8,2,2,1
,,,1,,English,26,4,1,6,8,1,2,1
,1,,,1,English,62,7,1,1,4,3,2,1
,,,,1,English,67,9,2,1,6,2,2,1
,,,1,1,English,66,7,3,1,7,1,2,2
1,,,,,English,19,1,2,6,3,4,2,2
,,,,1,English,21,3,1,6,5,1,2,9
,,,1,,English,68,6,1,1,4,3,2,1
,,,,1,English,42,9,2,1,6,1,2,1
,,,1,,English,57,7,2,5,6,1,2,1
1,,,,,English,50,99,9,1,7,1,2,1
,,,,1,English,47,9,1,1,6,1,2,1
,,,1,,English,44,99,2,1,8,1,2,3
,,,,1,English,80,7,1,1,6,3,2,1
,,,,1,English,28,4,2,6,6,1,2,1
,,,,1,English,50,9,1,1,4,1,2,1
1,,,,,English,50,6,2,1,4,1,2,1
,,,1,,English,39,6,3,1,6,1,2,1
,,,,1,English,25,5,4,6,3,2,2,1
1,,,,,English,68,7,2,2,3,3,2,1
,,,,1,English,58,6,1,1,5,1,2,1
,,,,1,English,27,8,3,1,7,1,2,3
,,,1,,English,18,2,8,6,2,4,1,7
,,,,1,English,55,99,1,1,6,1,2,1
,,,,1,English,25,3,2,2,6,2,2,1
,,,,1,English,67,2,4,3,6,3,2,1
,,,,1,English,60,8,2,1,1,1,2,3
,,,,1,English,22,7,2,6,6,7,1,1
,,,,1,English,40,9,1,1,3,5,2,1
1,,,,,English,84,99,1,5,4,3,2,1
,,,,1,English,56,9,2,1,4,1,2,1
,,,1,,English,43,8,1,1,7,1,2,1
,1,,,1,English,45,9,1,1,3,1,2,1
,,,,1,English,67,3,1,1,4,3,2,5
,,,,1,English,35,8,4,1,5,1,2,1
,,,1,,English,46,8,2,1,6,1,2,1
,,,,1,English,70,99,1,6,7,3,2,1
,,,,1,English,72,6,2,1,6,4,2,1
,,,1,,English,50,1,1,2,4,4,1,7
,,,,1,English,76,3,3,6,6,3,2,1
,,,1,1,English,29,5,2,6,6,1,2,1
,1,,,,English,43,3,2,1,6,1,1,7
,,,1,,English,63,99,3,1,6,3,2,1
,,,1,,English,18,98,4,6,3,4,2,1
,,,,1,English,79,8,2,1,6,3,2,1
,,,,1,English,47,9,1,1,8,1,2,1
,,,,1,English,60,9,2,1,6,3,2,1
1,,,,,English,46,9,3,1,7,1,2,3
,,,1,,English,74,99,1,1,4,3,2,1
,,,1,,English,19,1,2,6,3,4,2,2
,,,,1,English,44,99,9,1,7,5,2,2
,,,1,1,English,67,8,1,1,6,1,2,1
,1,,,,English,73,2,2,3,4,3,2,2
,,,1,,English,67,7,2,6,3,1,2,1
,,,1,,English,68,3,1,3,4,3,2,1
,,,,1,English,43,8,3,1,3,1,2,1
1,,,,,English,69,7,1,1,4,3,2,1
,,,1,,English,65,9,1,6,5,1,2,1
,,1,,1,English,44,9,2,4,7,1,2,1
,,,,1,English,22,2,2,6,3,4,2,2
,,,1,,English,19,5,2,6,4,2,1,7
,,,,1,English,72,6,1,1,5,3,2,1
,,,,1,English,26,3,2,2,4,2,2,1
1,,,,,English,20,6,1,6,3,2,2,1
,,,1,,English,62,99,2,5,7,1,2,1
,,1,1,1,English,35,8,3,1,6,1,1,7
,,,,1,English,20,6,2,6,4,8,2,2
,,,1,,English,22,4,1,2,4,6,2,3
,,,,1,English,30,2,2,4,2,1,2,1
1,,,,,English,84,3,2,5,6,3,2,2
,,,1,,English,50,99,1,9,6,2,2,1
,,,,1,English,81,2,3,5,3,3,2,1
,,,,1,English,60,5,1,1,3,1,2,1
,,,1,1,English,57,7,1,2,3,1,2,1
,,,,1,English,99,4,1,3,3,1,2,1
,,,,1,English,43,4,3,1,6,2,2,1
,,,,1,English,51,9,2,1,8,1,2,1
,,,1,,English,73,5,1,5,5,1,2,1
,,,1,1,English,53,4,2,6,3,1,2,2
,,,1,,English,62,9,2,1,8,1,2,1
,,,,1,English,25,3,2,6,6,2,2,1
,,,,1,English,62,9,2,2,4,5,2,1
,1,,,1,English,47,4,4,6,3,1,2,1
,,,,1,English,75,9,1,3,6,3,2,1
,,,,1,English,66,99,9,1,6,1,2,1
1,,,,,English,62,99,1,4,5,3,2,1
,,,1,,English,45,99,2,1,6,1,2,1
,,,1,,English,65,7,1,1,4,3,2,1
,,,,1,English,24,4,2,6,3,4,2,1
,,,,1,English,57,8,2,1,6,1,2,1
,,,,1,English,24,3,2,6,3,2,2,1
,,1,1,1,English,74,9,2,1,7,2,1,1
,,,,1,English,66,5,2,2,6,3,2,1
,,,1,,English,71,6,1,5,4,3,2,1
,,,,1,English,60,6,2,1,6,1,2,1
,,,,1,English,70,8,2,1,6,3,2,1
,,,,1,English,61,6,2,3,6,4,2,1
,,,,1,English,41,8,2,1,6,1,2,2
,,,1,1,English,35,3,3,6,3,1,2,1
,,,,1,English,40,8,2,1,3,1,2,1
,,,,1,English,51,8,2,1,6,1,2,1
,,,1,1,English,26,6,3,1,6,7,2,1
,,,1,1,English,69,8,1,1,6,3,2,1
,,,1,1,English,30,99,4,9,4,2,9,9
,,,,1,English,74,6,2,3,6,3,2,1
,,,,1,English,65,5,2,3,6,2,2,1
,,,,1,English,47,5,2,1,6,4,2,1
,,,1,1,English,20,98,2,6,3,1,2,2
,,,,1,English,35,1,2,6,6,4,2,2
,,,,1,English,59,6,1,3,6,1,2,1
,,1,,,English,18,98,1,6,3,4,2,1
,,,,1,English,46,9,2,1,8,2,2,1
,,,,1,English,90,99,1,1,4,3,2,1
,,,,1,English,60,8,1,1,6,3,2,1
,,,,1,English,56,3,2,5,5,2,2,2
,,,1,,English,62,4,2,1,5,3,2,2
,,,,1,English,56,5,3,1,3,1,2,1
,,,,1,English,23,2,2,6,6,2,2,1
,,,1,,English,71,1,4,5,2,3,2,1
,,,1,,English,20,6,2,6,4,2,2,2
1,,,,,English,27,4,2,6,8,2,2,1
,,,1,1,English,76,5,2,5,5,5,2,1
,,,1,1,English,57,7,1,2,4,1,2,1
,,,,1,English,60,7,1,3,6,1,2,1
,,,1,,English,60,8,1,1,3,2,2,1
,,,,1,English,28,6,2,6,6,1,2,1
,,,,1,English,20,8,2,6,5,1,1,7
,,,1,1,English,38,4,1,1,5,2,1,1
,,,,1,English,18,98,8,6,2,1,1,7
1,,,,,English,79,1,1,5,5,3,2,2
1,,,,,English,53,98,8,1,3,6,2,3
,,,,1,English,58,4,2,6,4,1,2,2
,,,1,,English,64,99,2,1,8,1,2,1
,,,,1,English,55,4,2,5,5,1,1,1
,,,,1,English,25,4,9,6,6,1,1,2
,,,1,1,English,68,2,1,6,6,2,2,1
,,,,1,English,20,6,2,6,4,2,2,1
,,,,1,English,74,6,2,1,6,3,2,1
,,,,1,English,49,7,3,1,5,3,2,2
,,,,1,English,54,8,2,3,6,1,2,1
,,,,1,English,60,6,1,5,5,3,2,1
,1,,,1,English,55,8,1,1,5,1,2,1
,,,,1,English,31,5,2,1,4,2,2,1
,,,,1,English,44,99,1,2,5,1,2,1
,,,,1,English,66,6,1,2,3,3,2,1
,,,1,1,English,21,99,1,6,4,2,2,1
,,,,1,English,62,8,1,1,3,1,2,1
,,,,1,English,61,8,1,1,4,1,2,5
,1,,1,1,English,51,2,3,6,4,1,2,9
,,,,1,English,23,98,3,6,3,1,2,1
,,,,1,English,24,2,1,2,6,1,2,1
,,,,1,English,53,9,3,1,7,1,2,1
,,,,1,English,99,7,2,1,6,3,2,1
,,,,1,English,57,99,1,1,6,1,2,1
,,,,1,English,55,8,1,1,6,1,2,1
1,,,,,English,42,8,9,9,6,1,2,9
,,,1,,English,58,98,1,3,2,6,2,1
,,,,1,English,20,9,1,6,5,2,2,1
,,,,1,English,82,4,3,1,5,3,2,1
,,1,,,English,55,5,2,6,6,2,2,2
,1,,,,English,56,99,3,6,2,1,2,5
,,,,1,English,25,98,2,6,6,1,2,3
,,,,1,English,60,9,2,1,3,2,2,1
,,,1,1,English,58,7,1,1,3,1,2,1
,1,,1,,English,30,8,2,6,6,1,2,4
,,,,1,English,26,9,2,6,3,2,2,1
,,,,1,English,32,9,2,2,6,1,2,1
,,,1,,English,36,99,3,1,8,1,2,1
1,,,,,English,50,99,9,1,8,1,2,1
,,,1,,English,24,99,9,6,3,1,1,9
,1,,1,,English,32,98,4,6,3,4,2,1
,,,,1,English,41,6,2,1,3,1,2,1
,,,,1,English,57,3,2,6,2,4,2,2
,,,,1,English,50,8,2,1,7,1,2,2
,,,1,,English,99,99,2,1,7,3,2,9
,,,,1,English,39,8,2,1,8,1,2,1
,,,1,,English,72,99,9,1,99,99,9,9
1,,,,,English,55,7,1,1,4,1,2,1
,,,,1,English,44,9,3,1,6,1,2,3
,,,1,,English,90,3,1,5,7,3,2,1
,,,1,,English,99,9,2,5,6,3,2,1
1,,,,,English,23,1,2,6,7,2,2,1
,,,,1,English,39,8,1,1,3,1,2,1
,,,1,1,English,25,9,2,6,6,1,2,3
,,,,1,English,65,99,1,1,8,1,2,1
1,,,,,English,21,2,2,1,3,4,2,2
,,,,1,English,52,6,2,1,4,1,2,1
,,,,1,English,49,9,2,1,7,1,2,1
,,,,1,English,44,1,3,6,4,4,2,1
,,,,1,English,24,99,2,6,6,1,2,1
,,,1,1,English,35,9,2,1,6,2,2,1
1,,,,,English,18,4,1,6,3,2,2,1
,,,1,,English,87,8,2,1,7,3,2,2
,,,,1,English,37,6,2,6,7,1,2,1
,,,1,,English,81,9,1,1,5,3,2,1
,,,,1,English,73,2,2,1,7,3,2,1
,,,1,,English,67,5,3,1,7,3,2,1
,,,,1,English,56,1,2,6,6,2,2,1
,,,,1,English,43,8,3,1,6,4,2,3
,,,,1,English,69,5,2,6,6,3,2,1
,,,,1,English,66,5,3,3,3,3,2,1
,,,1,,English,60,9,1,1,5,1,2,1
,,,,1,English,83,3,2,3,4,3,2,1
,,,,1,English,57,8,2,1,8,1,2,1
,,,,1,English,61,3,2,3,3,1,2,1
,,,,1,English,56,4,1,6,7,1,1,1
,,,,1,English,63,9,2,6,8,1,2,1
,,,,1,English,47,6,2,2,6,1,2,1
,,,,1,English,43,9,2,1,8,4,2,2
1,,,,,English,53,1,2,3,3,1,2,1
,,,,1,English,99,99,9,9,99,99,9,9
,,,,1,English,33,6,2,2,3,1,2,1
,,,,1,English,59,1,2,6,5,6,2,2
,,,,1,English,60,3,1,6,2,2,2,1
,,,,1,English,79,1,2,1,1,3,1,7
,,,1,,English,71,6,1,1,4,3,2,1
,,,1,,English,99,99,9,9,8,99,9,9
,,,,1,English,38,8,1,1,3,1,2,1
,,,,1,English,88,4,1,1,3,5,2,1
,,,1,,English,50,3,2,1,4,1,2,1
,,,,1,English,36,7,3,1,6,1,1,1
,,,1,,English,40,3,5,1,6,1,2,1
,,,,1,English,65,6,2,3,7,1,2,1
,,,,1,English,50,98,2,1,6,1,2,1
,,,,1,English,60,4,3,4,5,1,1,2
,,,,1,English,24,5,2,6,6,1,2,1
1,,,,,English,51,3,2,1,6,1,2,1
,,,,1,English,37,6,2,6,6,1,2,1
,,,1,,English,21,6,3,6,3,2,2,3
,,,,1,English,74,7,1,1,5,2,2,1
,,,,1,English,62,5,1,1,3,3,2,1
,,,1,,English,30,98,4,1,4,8,2,3
,,,,1,English,20,9,1,6,6,4,1,7
,,,1,1,English,19,98,2,6,3,4,2,1
,,,,1,English,80,5,1,1,4,3,2,1
,,,,1,English,34,3,2,6,5,2,2,2
,,,,1,English,66,1,1,5,2,3,2,1
,,,,1,English,56,6,1,1,5,3,2,1
,,,1,,English,57,9,1,1,3,1,2,1
,,,,1,English,78,6,2,1,4,3,2,1
,,,,1,English,18,99,2,5,3,4,2,1
,,,,1,English,45,9,2,1,8,1,2,1
1,,,,,English,68,3,2,1,3,3,2,1
,,,,1,English,40,8,2,1,6,1,2,2
1,,,,,English,34,7,2,6,8,1,2,1
,,,,1,English,75,5,2,1,7,3,2,1
,,,,1,English,65,7,1,1,6,3,2,1
,,,1,,English,25,6,2,6,6,1,2,1
,1,,,1,English,31,4,1,1,5,4,2,1
,,,,1,English,61,8,3,1,7,1,1,1
,,,,1,English,99,99,9,9,99,1,2,9
,,,,1,English,23,9,9,9,99,99,9,9
,,,,1,English,81,2,1,6,6,3,2,1
,,,,1,English,60,7,2,3,3,3,2,1
,,,,1,English,70,7,2,1,8,3,1,1
,,,,1,English,27,5,2,6,5,2,2,2
,,,,1,English,64,7,2,1,7,3,2,1
,,,,1,English,30,99,9,1,7,4,2,3
,,,1,,English,19,7,2,6,4,2,2,1
,,,,1,English,29,4,2,2,6,1,2,1
,,,,1,English,62,6,1,1,3,3,2,1
,,1,,,English,67,4,1,1,8,3,2,1
,1,,,1,English,51,8,4,1,7,1,1,7
,,,,1,English,66,3,1,3,3,1,2,1
,,,,1,English,79,9,1,1,3,1,2,1
,,,1,,English,80,5,1,1,5,3,2,1
,,,,1,English,68,3,1,5,3,3,2,1
,,,,1,English,60,7,1,1,3,2,2,1
,,,1,1,English,74,5,1,1,7,3,2,1
,1,,1,,English,48,7,1,3,8,1,2,1
,,,1,,English,45,9,2,1,8,1,2,1
1,,,,,English,64,8,9,1,7,1,8,9
,,,,1,English,28,8,5,2,6,1,2,9
,,,,1,English,73,98,2,1,2,3,2,2
,,,,1,English,43,6,1,6,8,1,2,1
,,,,1,English,35,4,2,1,6,1,2,1
1,,,,,English,47,6,2,1,3,1,2,1
,,,,1,English,61,8,2,1,6,1,2,1
,,,,1,English,55,3,4,3,6,4,2,1
1,,,,,English,38,7,2,4,3,1,2,1
,,,,1,English,28,9,1,1,6,1,2,1
,,,,1,English,34,9,2,1,7,1,2,3
,,,,1,English,37,8,2,1,6,4,2,1
,,,1,,English,18,3,2,6,4,4,2,1
,,,1,,English,73,6,2,1,6,2,2,2
1,,,,,English,60,1,2,1,2,6,2,1
1,,,,,English,23,98,2,6,5,4,1,1
,,,,1,English,68,8,1,1,7,3,2,1
,,,,1,English,59,99,9,1,7,3,2,2
,,,1,,English,30,5,2,6,4,1,2,3
,,,1,,English,67,6,3,3,5,3,2,1
,,,,1,English,19,4,2,6,4,2,2,1
,,,,1,English,48,1,2,6,4,4,2,4
,,,1,,English,22,3,1,6,3,2,2,1
,,,1,,English,99,99,9,9,99,99,9,9
,,,1,,English,63,6,2,1,6,1,2,9
,,,,1,English,67,6,2,1,8,3,2,1
,,,,1,English,49,9,1,1,7,1,2,9
,,,,1,English,65,9,1,1,6,3,2,1
,,,1,,English,54,99,2,3,4,4,2,9
,,,1,,English,32,8,2,1,6,1,2,1
1,,,,,English,35,9,1,1,6,1,1,7
,,,1,,English,37,6,4,6,3,1,2,1
